Message,Type,Severity,Security Category,Hotspot Priority,Rule Key,Rule Name,File Name,File Line,Impact MAINTAINABILITY,Impact RELIABILITY,Impact SECURITY
"Null pointer dereference in function call: if (!memcmp(opts, &req->opts, sizeof(const struct bfd_options)))",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5000,AI-Triage-v8:AI-TRIAGE:c_S5000,proto/bfd/bfd.c,806,MEDIUM,,
"Ignored return value of security-relevant function: log(L_BUG ""OSPF: Unknown interface type"");",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:ignoredReturnValue,AI-Triage-v8:AI-TRIAGE:ignoredReturnValue,proto/ospf/topology.c,826,MEDIUM,,
Operator precedence ambiguity: if (EA_PROTO(a->id) != PROTOCOL_BGP),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5261,AI-Triage-v8:AI-TRIAGE:c_S5261,proto/bgp/attrs.c,1253,MEDIUM,,
"Function declared implicitly: for (start=str=buf ; *fmt ; ++fmt, size-=(str-start), start=str) {",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,lib/printf.c,171,MEDIUM,,
"World-writable file creation: else if (!(dbgf = fopen(f, ""a"")))",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_world_writable_file_creation,AI-Triage-v8:AI-TRIAGE:cpp_world_writable_file_creation,sysdep/unix/log.c,511,MEDIUM,,
goto statement used: if (s->table_open),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1909,AI-Triage-v8:AI-TRIAGE:c_S1909,proto/mrt/mrt.c,606,MEDIUM,,
Null pointer dereference: ea_list *attrs = new ? new->attrs->eattrs : NULL;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointer,AI-Triage-v8:AI-TRIAGE:nullPointer,proto/bgp/packets.c,2579,MEDIUM,,
"Null pointer dereference in function call: static inline int net_equal_roa4(const net_addr_roa4 *a, const net_addr_roa4 *b)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5000,AI-Triage-v8:AI-TRIAGE:c_S5000,lib/net.h,369,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: This should be handled in a better way */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,nest/rt-table.c,2279,MEDIUM,,
switch case falls through without comment: str:,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1219,AI-Triage-v8:AI-TRIAGE:c_S1219,lib/printf.c,271,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: Move channel reconfiguration to generic protocol code ? */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/bgp/bgp.c,2751,MEDIUM,,
Function declared implicitly: while (len),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,proto/bgp/attrs.c,218,MEDIUM,,
"Null pointer dereference in function call: static inline int net_equal_vpn4(const net_addr_vpn4 *a, const net_addr_vpn4 *b)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5000,AI-Triage-v8:AI-TRIAGE:c_S5000,lib/net.h,363,MEDIUM,,
alloca() with network-controlled size — stack DoS: /* Prepare the flow */,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/bgp/packets.c,2114,MEDIUM,,
Local variable shadows outer variable: static list l;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,lib/lists_test.c,74,MEDIUM,,
Redundant parentheses [REVIEW]: return (n);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1110,AI-Triage-v8:AI-TRIAGE:c_S1110,proto/ospf/neighbor.c,635,MEDIUM,,
Overly complex boolean condition: ((n0 <= 0) || (_I0(a) == _I0(b))) &&,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_complex_condition,AI-Triage-v8:AI-TRIAGE:cpp_complex_condition,lib/ip.h,320,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME we should flush routes even when persist during reconfiguration */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,sysdep/unix/krt.c,1123,MEDIUM,,
Function declared implicitly: for (pos = &net->routes; old = *pos; pos = &old->next),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,nest/rt-table.c,3043,MEDIUM,,
Function declared implicitly: while (len > 0),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,proto/bgp/packets.c,792,MEDIUM,,
alloca() usage — potential stack overflow: int *d = alloca(sizeof(uint) * ints);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,proto/perf/perf.c,38,MEDIUM,,
Function declared implicitly: while (len),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,proto/bgp/attrs.c,1377,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: better session matching and message */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/bfd/packets.c,374,MEDIUM,,
Local variable shadows outer variable: sock *s = current_sock;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,sysdep/unix/io.c,2615,MEDIUM,,
alloca() with network-controlled size — stack DoS: struct bgp_bucket *b = alloca(bucket_size);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/bgp/packets.c,2442,MEDIUM,,
Function has too many lines: if (j >= 0x10000 || ++l > 4),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,lib/ip.c,426,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: remove LSA entry if it is LSA_MAXAGE and it is possible? */,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/ospf/lsupd.c,648,MEDIUM,,
"alloca() with network-controlled size — stack DoS: .eattrs = alloca(sizeof(ea_list) + 3*sizeof(eattr)),",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/babel/babel.c,696,MEDIUM,,
Null pointer dereference after failed allocation: byte *avaible_indexes = malloc(avaible_indexes_size);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,filter/tree_test.c,113,MEDIUM,,
Function has too many lines: if ((updatetime NS < p->threshold_min) || (++p->run == p->repeat)) {,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,proto/perf/perf.c,188,MEDIUM,,
Function declared implicitly: while (len),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,sysdep/linux/netlink.c,728,MEDIUM,,
Null pointer dereference: ASSERT_DIE(n);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointer,AI-Triage-v8:AI-TRIAGE:nullPointer,lib/lists.c,38,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: This is hack */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/bfd/bfd.c,1131,MEDIUM,,
alloca() with network-controlled size — stack DoS: struct f_path_mask *mask = alloca(sizeof(struct f_path_mask) + AS_PATH_LENGTH * sizeof(struct f_path_mask_item));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,nest/a-path_test.c,35,MEDIUM,,
"Function has too many parameters: babel_auth_check_mac(struct babel_iface *ifa, byte *pkt,",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S107,AI-Triage-v8:AI-TRIAGE:c_S107,proto/babel/packets.c,1950,MEDIUM,,
Null pointer dereference after failed allocation: new = malloc(size);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,client/commands.c,72,MEDIUM,,
"Function has too many parameters: add_cand(struct ospf_area *oa, struct top_hash_entry *en, struct top_hash_entry *par,",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S107,AI-Triage-v8:AI-TRIAGE:c_S107,proto/ospf/rt.c,1883,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: What about RTN_THROW? */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,sysdep/linux/netlink.c,1773,MEDIUM,,
alloca() with network-controlled size — stack DoS: if (len <= 1024),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,filter/tree.c,104,MEDIUM,,
Function has too many lines: while (!expected[n] && (k++ < 8));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,lib/bitmap_test.c,154,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: configurable tos/priority ? */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/ospf/iface.c,213,MEDIUM,,
"Dead store — value assigned but never used: buf += bsprintf(buf, "" (%d/%d) [%lR]"", rte->attrs->pref,",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1854,AI-Triage-v8:AI-TRIAGE:c_S1854,proto/babel/babel.c,2199,MEDIUM,,
Redundant parentheses: if ((nf->n.oa->areaid == oa->areaid)),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1110,AI-Triage-v8:AI-TRIAGE:c_S1110,proto/ospf/rt.c,1008,MEDIUM,,
Local variable shadows outer variable: uint len = LSA_TLV_LENGTH(tlv);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,proto/ospf/lsalib.c,319,MEDIUM,,
Comma operator used: if (num > (u64) INT64_MAX) {,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S876,AI-Triage-v8:AI-TRIAGE:c_S876,lib/printf.c,58,MEDIUM,,
Function declared implicitly: while (current_sock && count < MAX_RX_STEPS),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,sysdep/unix/io.c,2613,MEDIUM,,
switch case falls through without comment: case PM_QUESTION:,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1219,AI-Triage-v8:AI-TRIAGE:c_S1219,nest/a-path.c,928,MEDIUM,,
"Function has too many lines: if (new_first && (new_changed = export_filter(c, new_changed, &new_free, 0)))",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,nest/rt-table.c,834,MEDIUM,,
Macro with side effects used multiple times: int readonly:1;			/* Don't allow writing */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S814,AI-Triage-v8:AI-TRIAGE:c_S814,filter/data.h,132,MEDIUM,,
